Course Code,Course Name,Section ID,Available Seats,Total Seats,Location,Instructor,Start Time,End Time,Days,Alt Location,Alt Start Time,Alt End Time,Alt Days
102,Programming I,A,20,35,SBLOCKS320,Z Malik,15:30,16:45,"['R', 'T']",SBLOCKS319,14:00,16:50,['W']
102,Programming I,B,29,35,SBLOCKS319,U Nisar,14:00,16:50,['M'],SBLOCKS215,08:00,09:15,"['R', 'T']"
111,Programming II,A,0,35,SBLOCKS317,N Ashraf,09:00,09:50,"['F', 'M', 'W']",SBLOCKS219,14:00,16:50,['M']
111,Programming II,B,23,35,SBLOCKS219,F Shaheen,08:00,08:50,"['F', 'M', 'W']",SBLOCKS219,14:00,16:50,['W']
111,Programming II,C,0,35,SBLOCKS320,N Ashraf,10:00,10:50,"['F', 'M', 'W']",SBLOCKS219,14:00,16:50,['F']
111,Programming II,D,24,35,SBLOCKS218,F Shaheen,09:30,10:45,"['R', 'T']",SBLOCKS218,09:00,11:50,['F']
111,Programming II,E,8,35,SBLOCKS215,A Atique,12:00,12:50,"['F', 'M', 'W']",SBLOCKS218,08:00,10:50,['W']
111,Programming II,F,13,35,SBLOCKS320,S Qureshi,11:00,11:50,"['F', 'M', 'W']",SBLOCKS218,08:00,10:50,['M']
113,Discrete Mathematics,A,0,35,SBLOCKS216,M Tamoor,11:00,12:15,"['R', 'T']",,,,
113,Discrete Mathematics,B,0,35,SBLOCKS216,M Tamoor,12:30,13:45,"['R', 'T']",,,,
113,Discrete Mathematics,C,1,35,SBLOCKS216,M Tamoor,14:00,15:15,"['R', 'T']",,,,
200,Data Struc. & Algor.,A,0,35,SBLOCKS317,S Qureshi,12:00,12:50,"['F', 'M', 'W']",SBLOCKS218,14:00,16:50,['W']
200,Data Struc. & Algor.,B,10,35,SBLOCKS120,S Qureshi,10:00,10:50,"['F', 'M', 'W']",SBLOCKS218,14:00,16:50,['F']
206,Digital Logic Design,A,0,30,SBLOCKS027A,S Minhas,09:00,10:50,['T'],SBLOCKS215,09:00,10:50,['R']
